month,department_id,account_id,actual,budget,forecast,account_name,account_category,statement_line,favorable_direction,is_revenue,is_cogs,is_opex,is_expense,oi_sign,var_ab_amount,oi_impact_ab,favorable_ab,var_ab_pct,ab_pct_meaningful,var_af_amount,oi_impact_af,favorable_af,var_af_pct,actual_mom_amount,actual_mom_pct,fiscal_year,month_number,actual_ytd,budget_ytd,var_ab_ytd_amount,oi_impact_ytd,group_total_oi_impact_ab,contribution_to_oi_co,materiality_rank_co,contribution_to_oi_ab,materiality_rank
2024-11-01,CORP,COGS_HOST,247353.99,246596.54,,Hosting / Infrastructure,Infrastructure,Cost of Revenue,lower,0,1,0,1,-1,757.45,-757.45,False,0.00307,True,,,,,5139.18,0.02122,2024,11,2489339.24,2481497.71,7841.53,-7841.53,-668.4,0.0149,12,1.13323,3
2024-12-01,CORP,COGS_HOST,251818.0,252880.11,,Hosting / Infrastructure,Infrastructure,Cost of Revenue,lower,0,1,0,1,-1,-1062.11,1062.11,True,-0.0042,True,,,,,4464.01,0.01805,2024,12,2741157.24,2734377.82,6779.42,-6779.42,457.8,-0.01909,11,2.32003,3
2025-01-01,CORP,COGS_HOST,303456.07,258188.57,278053.83,Hosting / Infrastructure,Infrastructure,Cost of Revenue,lower,0,1,0,1,-1,45267.5,-45267.5,False,0.17533,True,25402.24,-25402.24,0.0,0.09136,51638.07,0.20506,2025,1,303456.07,258188.57,45267.5,-45267.5,-61949.64,0.29252,2,0.73071,1
2025-02-01,CORP,COGS_HOST,302818.32,263598.19,283223.7,Hosting / Infrastructure,Infrastructure,Cost of Revenue,lower,0,1,0,1,-1,39220.13,-39220.13,False,0.14879,True,19594.62,-19594.62,0.0,0.06918,-637.75,-0.0021,2025,2,606274.39,521786.76,84487.63,-84487.63,-68725.12,0.23398,3,0.57068,1
2025-03-01,CORP,COGS_HOST,320572.87,268113.24,287478.16,Hosting / Infrastructure,Infrastructure,Cost of Revenue,lower,0,1,0,1,-1,52459.63,-52459.63,False,0.19566,True,33094.71,-33094.71,0.0,0.11512,17754.55,0.05863,2025,3,926847.26,789900.0,136947.26,-136947.26,-90247.27,0.24018,2,0.58129,1
2025-04-01,CORP,COGS_HOST,309733.26,271728.91,290812.29,Hosting / Infrastructure,Infrastructure,Cost of Revenue,lower,0,1,0,1,-1,38004.35,-38004.35,False,0.13986,True,18920.97,-18920.97,0.0,0.06506,-10839.61,-0.03381,2025,4,1236580.52,1061628.91,174951.61,-174951.61,-89498.76,0.1708,5,0.42464,2
2025-05-01,CORP,COGS_HOST,311242.36,274685.0,293471.17,Hosting / Infrastructure,Infrastructure,Cost of Revenue,lower,0,1,0,1,-1,36557.36,-36557.36,False,0.13309,True,17771.19,-17771.19,0.0,0.06056,1509.1,0.00487,2025,5,1547822.88,1336313.91,211508.97,-211508.97,-95499.01,0.18404,4,0.3828,2
2025-06-01,CORP,COGS_HOST,323514.78,277402.76,295885.34,Hosting / Infrastructure,Infrastructure,Cost of Revenue,lower,0,1,0,1,-1,46112.02,-46112.02,False,0.16623,True,27629.44,-27629.44,0.0,0.09338,12272.42,0.03943,2025,6,1871337.66,1613716.67,257620.99,-257620.99,-112912.59,0.13507,6,0.40839,2
2025-07-01,CORP,COGS_HOST,317527.12,279608.62,297648.41,Hosting / Infrastructure,Infrastructure,Cost of Revenue,lower,0,1,0,1,-1,37918.5,-37918.5,False,0.13561,True,19878.71,-19878.71,0.0,0.06679,-5987.66,-0.01851,2025,7,2188864.78,1893325.29,295539.49,-295539.49,-115513.06,0.10097,6,0.32826,2
2025-08-01,CORP,COGS_HOST,329276.72,283258.89,301013.41,Hosting / Infrastructure,Infrastructure,Cost of Revenue,lower,0,1,0,1,-1,46017.83,-46017.83,False,0.16246,True,28263.31,-28263.31,0.0,0.09389,11749.6,0.037,2025,8,2518141.5,2176584.18,341557.32,-341557.32,-135632.81,0.17058,5,0.33928,2
2025-09-01,CORP,COGS_HOST,324699.61,287840.2,305328.9,Hosting / Infrastructure,Infrastructure,Cost of Revenue,lower,0,1,0,1,-1,36859.41,-36859.41,False,0.12806,True,19370.71,-19370.71,0.0,0.06344,-4577.11,-0.0139,2025,9,2842841.11,2464424.38,378416.73,-378416.73,-142610.66,0.12949,5,0.25846,2
2025-10-01,CORP,COGS_HOST,328449.0,293357.35,310599.76,Hosting / Infrastructure,Infrastructure,Cost of Revenue,lower,0,1,0,1,-1,35091.65,-35091.65,False,0.11962,True,17849.24,-17849.24,0.0,0.05747,3749.39,0.01155,2025,10,3171290.11,2757781.73,413508.38,-413508.38,-150846.49,0.11569,5,0.23263,2
2025-11-01,CORP,COGS_HOST,344370.5,299566.69,316576.98,Hosting / Infrastructure,Infrastructure,Cost of Revenue,lower,0,1,0,1,-1,44803.81,-44803.81,False,0.14956,True,27793.52,-27793.52,0.0,0.08779,15921.5,0.04847,2025,11,3515660.61,3057348.42,458312.19,-458312.19,-170587.48,0.1415,4,0.26264,2
2025-12-01,CORP,COGS_HOST,334569.0,306040.3,322823.2,Hosting / Infrastructure,Infrastructure,Cost of Revenue,lower,0,1,0,1,-1,28528.7,-28528.7,False,0.09322,True,11745.8,-11745.8,0.0,0.03638,-9801.5,-0.02846,2025,12,3850229.61,3363388.72,486840.89,-486840.89,-172554.78,0.08465,5,0.16533,2
2024-01-01,CORP,COGS_PAY,34607.03,34568.57,,Payment Processing,Payments,Cost of Revenue,lower,0,1,0,1,-1,38.46,-38.46,False,0.00111,True,,,,,,,2024,1,34607.03,34568.57,38.46,-38.46,874.02,-0.00561,15,-0.044,5
2024-02-01,CORP,COGS_PAY,35495.63,35447.55,,Payment Processing,Payments,Cost of Revenue,lower,0,1,0,1,-1,48.08,-48.08,False,0.00136,True,,,,,888.6,0.02568,2024,2,70102.66,70016.12,86.54,-86.54,6757.85,0.01686,15,-0.00711,5
2024-03-01,CORP,COGS_PAY,36263.58,36181.53,,Payment Processing,Payments,Cost of Revenue,lower,0,1,0,1,-1,82.05,-82.05,False,0.00227,True,,,,,767.95,0.02164,2024,3,106366.24,106197.65,168.59,-168.59,3767.94,0.00712,15,-0.02178,5
2024-04-01,CORP,COGS_PAY,36870.94,36769.69,,Payment Processing,Payments,Cost of Revenue,lower,0,1,0,1,-1,101.25,-101.25,False,0.00275,True,,,,,607.36,0.01675,2024,4,143237.18,142967.34,269.84,-269.84,-5228.8,0.09535,14,0.01936,5
2024-05-01,CORP,COGS_PAY,37333.61,37250.92,,Payment Processing,Payments,Cost of Revenue,lower,0,1,0,1,-1,82.69,-82.69,False,0.00222,True,,,,,462.67,0.01255,2024,5,180570.79,180218.26,352.53,-352.53,12176.43,0.12059,15,-0.00679,5
2024-06-01,CORP,COGS_PAY,37790.6,37693.51,,Payment Processing,Payments,Cost of Revenue,lower,0,1,0,1,-1,97.09,-97.09,False,0.00258,True,,,,,456.99,0.01224,2024,6,218361.39,217911.77,449.62,-449.62,6861.04,-0.01766,15,-0.01415,5
2024-07-01,CORP,COGS_PAY,38146.76,38054.15,,Payment Processing,Payments,Cost of Revenue,lower,0,1,0,1,-1,92.61,-92.61,False,0.00243,True,,,,,356.16,0.00942,2024,7,256508.15,255965.92,542.23,-542.23,642.95,0.00185,15,-0.14404,5
2024-08-01,CORP,COGS_PAY,38707.1,38648.1,,Payment Processing,Payments,Cost of Revenue,lower,0,1,0,1,-1,59.0,-59.0,False,0.00153,True,,,,,560.34,0.01469,2024,8,295215.25,294614.02,601.23,-601.23,-3159.94,0.00148,16,0.01867,5
2024-09-01,CORP,COGS_PAY,39439.07,39393.18,,Payment Processing,Payments,Cost of Revenue,lower,0,1,0,1,-1,45.89,-45.89,False,0.00116,True,,,,,731.97,0.01891,2024,9,334654.32,334007.2,647.12,-647.12,-5366.29,0.00155,16,0.00855,5
2024-10-01,CORP,COGS_PAY,40365.57,40290.17,,Payment Processing,Payments,Cost of Revenue,lower,0,1,0,1,-1,75.4,-75.4,False,0.00187,True,,,,,926.5,0.02349,2024,10,375019.89,374297.37,722.52,-722.52,1308.26,0.00204,15,-0.05763,5
2024-11-01,CORP,COGS_PAY,41317.08,41299.56,,Payment Processing,Payments,Cost of Revenue,lower,0,1,0,1,-1,17.52,-17.52,False,0.00042,True,,,,,951.51,0.02357,2024,11,416336.97,415596.93,740.04,-740.04,-668.4,0.00034,16,0.02621,5
2024-12-01,CORP,COGS_PAY,42289.98,42351.92,,Payment Processing,Payments,Cost of Revenue,lower,0,1,0,1,-1,-61.94,61.94,True,-0.00146,True,,,,,972.9,0.02355,2024,12,458626.95,457948.85,678.1,-678.1,457.8,-0.00111,16,0.1353,5
2025-01-01,CORP,COGS_PAY,42938.46,43240.97,43118.49,Payment Processing,Payments,Cost of Revenue,lower,0,1,0,1,-1,-302.51,302.51,True,-0.007,True,-180.03,180.03,1.0,-0.00418,648.48,0.01533,2025,1,42938.46,43240.97,-302.51,302.51,-61949.64,-0.00195,16,-0.00488,4
2025-02-01,CORP,COGS_PAY,43566.19,44146.97,43920.2,Payment Processing,Payments,Cost of Revenue,lower,0,1,0,1,-1,-580.78,580.78,True,-0.01316,True,-354.01,354.01,1.0,-0.00806,627.73,0.01462,2025,2,86504.65,87387.94,-883.29,883.29,-68725.12,-0.00346,16,-0.00845,5
2025-03-01,CORP,COGS_PAY,44119.18,44903.14,44579.95,Payment Processing,Payments,Cost of Revenue,lower,0,1,0,1,-1,-783.96,783.96,True,-0.01746,True,-460.77,460.77,1.0,-0.01034,552.99,0.01269,2025,3,130623.83,132291.08,-1667.25,1667.25,-90247.27,-0.00359,16,-0.00869,5
2025-04-01,CORP,COGS_PAY,44570.26,45508.68,45096.98,Payment Processing,Payments,Cost of Revenue,lower,0,1,0,1,-1,-938.42,938.42,True,-0.02062,True,-526.72,526.72,1.0,-0.01168,451.08,0.01022,2025,4,175194.09,177799.76,-2605.67,2605.67,-89498.76,-0.00422,14,-0.01049,4
2025-05-01,CORP,COGS_PAY,44901.82,46003.77,45509.3,Payment Processing,Payments,Cost of Revenue,lower,0,1,0,1,-1,-1101.95,1101.95,True,-0.02395,True,-607.48,607.48,1.0,-0.01335,331.56,0.00744,2025,5,220095.91,223803.53,-3707.62,3707.62,-95499.01,-0.00555,14,-0.01154,5
2025-06-01,CORP,COGS_PAY,45214.43,46458.93,45883.67,Payment Processing,Payments,Cost of Revenue,lower,0,1,0,1,-1,-1244.5,1244.5,True,-0.02679,True,-669.24,669.24,1.0,-0.01459,312.61,0.00696,2025,6,265310.34,270262.46,-4952.12,4952.12,-112912.59,-0.00365,16,-0.01102,4
2025-07-01,CORP,COGS_PAY,45347.32,46828.37,46157.07,Payment Processing,Payments,Cost of Revenue,lower,0,1,0,1,-1,-1481.05,1481.05,True,-0.03163,True,-809.75,809.75,1.0,-0.01754,132.89,0.00294,2025,7,310657.66,317090.83,-6433.17,6433.17,-115513.06,-0.00394,16,-0.01282,5
2025-08-01,CORP,COGS_PAY,45745.2,47439.71,46678.89,Payment Processing,Payments,Cost of Revenue,lower,0,1,0,1,-1,-1694.51,1694.51,True,-0.03572,True,-933.69,933.69,1.0,-0.02,397.88,0.00877,2025,8,356402.86,364530.54,-8127.68,8127.68,-135632.81,-0.00628,14,-0.01249,5
2025-09-01,CORP,COGS_PAY,46238.89,48206.98,47348.1,Payment Processing,Payments,Cost of Revenue,lower,0,1,0,1,-1,-1968.09,1968.09,True,-0.04083,True,-1109.21,1109.21,1.0,-0.02343,493.69,0.01079,2025,9,402641.75,412737.52,-10095.77,10095.77,-142610.66,-0.00691,12,-0.0138,4
2025-10-01,CORP,COGS_PAY,46905.98,49130.98,48165.47,Payment Processing,Payments,Cost of Revenue,lower,0,1,0,1,-1,-2225.0,2225.0,True,-0.04529,True,-1259.49,1259.49,1.0,-0.02615,667.09,0.01443,2025,10,449547.73,461868.5,-12320.77,12320.77,-150846.49,-0.00734,16,-0.01475,5
2025-11-01,CORP,COGS_PAY,47691.13,50170.91,49092.37,Payment Processing,Payments,Cost of Revenue,lower,0,1,0,1,-1,-2479.78,2479.78,True,-0.04943,True,-1401.24,1401.24,1.0,-0.02854,785.15,0.01674,2025,11,497238.86,512039.41,-14800.55,14800.55,-170587.48,-0.00783,13,-0.01454,5
2025-12-01,CORP,COGS_PAY,48524.94,51255.1,50060.99,Payment Processing,Payments,Cost of Revenue,lower,0,1,0,1,-1,-2730.16,2730.16,True,-0.05327,True,-1536.05,1536.05,1.0,-0.03068,833.81,0.01748,2025,12,545763.8,563294.51,-17530.71,17530.71,-172554.78,-0.0081,13,-0.01582,5
2024-01-01,CORP,COGS_SUPPORT,81896.37,80767.69,,Customer Support COGS,Support,Cost of Revenue,lower,0,1,0,1,-1,1128.68,-1128.68,False,0.01397,True,,,,,,,2024,1,81896.37,80767.69,1128.68,-1128.68,874.02,-0.16473,6,-1.29137,2
2024-02-01,CORP,COGS_SUPPORT,82035.82,82821.38,,Customer Support COGS,Support,Cost of Revenue,lower,0,1,0,1,-1,-785.56,785.56,True,-0.00948,True,,,,,139.45,0.0017,2024,2,163932.19,163589.07,343.12,-343.12,6757.85,-0.2755,8,0.11624,3
2024-03-01,CORP,COGS_SUPPORT,85943.28,84536.28,,Customer Support COGS,Support,Cost of Revenue,lower,0,1,0,1,-1,1407.0,-1407.0,False,0.01664,True,,,,,3907.46,0.04763,2024,3,249875.47,248125.35,1750.12,-1750.12,3767.94,0.12204,5,-0.37341,2
2024-04-01,CORP,COGS_SUPPORT,88610.29,85910.49,,Customer Support COGS,Support,Cost of Revenue,lower,0,1,0,1,-1,2699.8,-2699.8,False,0.03143,True,,,,,2667.01,0.03103,2024,4,338485.76,334035.84,4449.92,-4449.92,-5228.8,2.54252,5,0.51633,3
2024-05-01,CORP,COGS_SUPPORT,86599.22,87034.85,,Customer Support COGS,Support,Cost of Revenue,lower,0,1,0,1,-1,-435.63,435.63,True,-0.00501,True,,,,,-2011.07,-0.0227,2024,5,425084.98,421070.69,4014.29,-4014.29,12176.43,-0.63527,11,0.03578,3
2024-06-01,CORP,COGS_SUPPORT,86976.96,88068.96,,Customer Support COGS,Support,Cost of Revenue,lower,0,1,0,1,-1,-1092.0,1092.0,True,-0.0124,True,,,,,377.74,0.00436,2024,6,512061.94,509139.65,2922.29,-2922.29,6861.04,0.19864,7,0.15916,2
2024-07-01,CORP,COGS_SUPPORT,91064.64,88911.55,,Customer Support COGS,Support,Cost of Revenue,lower,0,1,0,1,-1,2153.09,-2153.09,False,0.02422,True,,,,,4087.68,0.047,2024,7,603126.58,598051.2,5075.38,-5075.38,642.95,0.04309,8,-3.34877,3
2024-08-01,CORP,COGS_SUPPORT,94885.32,90299.31,,Customer Support COGS,Support,Cost of Revenue,lower,0,1,0,1,-1,4586.01,-4586.01,False,0.05079,True,,,,,3820.68,0.04196,2024,8,698011.9,688350.51,9661.39,-9661.39,-3159.94,0.11527,6,1.4513,1
2024-09-01,CORP,COGS_SUPPORT,94919.84,92040.13,,Customer Support COGS,Support,Cost of Revenue,lower,0,1,0,1,-1,2879.71,-2879.71,False,0.03129,True,,,,,34.52,0.00036,2024,9,792931.74,780390.64,12541.1,-12541.1,-5366.29,0.0973,7,0.53663,2
2024-10-01,CORP,COGS_SUPPORT,95296.28,94135.9,,Customer Support COGS,Support,Cost of Revenue,lower,0,1,0,1,-1,1160.38,-1160.38,False,0.01233,True,,,,,376.44,0.00397,2024,10,888228.02,874526.54,13701.48,-13701.48,1308.26,0.03137,10,-0.88696,3
2024-11-01,CORP,COGS_SUPPORT,97361.13,96494.3,,Customer Support COGS,Support,Cost of Revenue,lower,0,1,0,1,-1,866.83,-866.83,False,0.00898,True,,,,,2064.85,0.02167,2024,11,985589.15,971020.84,14568.31,-14568.31,-668.4,0.01705,11,1.29687,2
2024-12-01,CORP,COGS_SUPPORT,96177.99,98953.09,,Customer Support COGS,Support,Cost of Revenue,lower,0,1,0,1,-1,-2775.1,2775.1,True,-0.02804,True,,,,,-1183.14,-0.01215,2024,12,1081767.14,1069973.93,11793.21,-11793.21,457.8,-0.04989,7,6.06182,2
2025-01-01,CORP,COGS_SUPPORT,101208.64,101030.31,100744.14,Customer Support COGS,Support,Cost of Revenue,lower,0,1,0,1,-1,178.33,-178.33,False,0.00177,True,464.5,-464.5,0.0,0.00461,5030.65,0.05231,2025,1,101208.64,101030.31,178.33,-178.33,-61949.64,0.00115,17,0.00288,5
2025-02-01,CORP,COGS_SUPPORT,100967.3,103147.12,102617.28,Customer Support COGS,Support,Cost of Revenue,lower,0,1,0,1,-1,-2179.82,2179.82,True,-0.02113,True,-1649.98,1649.98,1.0,-0.01608,-241.34,-0.00238,2025,2,202175.94,204177.43,-2001.49,2001.49,-68725.12,-0.013,14,-0.03172,3
2025-03-01,CORP,COGS_SUPPORT,99932.06,104913.87,104158.75,Customer Support COGS,Support,Cost of Revenue,lower,0,1,0,1,-1,-4981.81,4981.81,True,-0.04748,True,-4226.69,4226.69,1.0,-0.04058,-1035.24,-0.01025,2025,3,302108.0,309091.3,-6983.3,6983.3,-90247.27,-0.02281,10,-0.0552,3
2025-04-01,CORP,COGS_SUPPORT,106627.03,106328.7,105366.77,Customer Support COGS,Support,Cost of Revenue,lower,0,1,0,1,-1,298.33,-298.33,False,0.00281,True,1260.26,-1260.26,0.0,0.01196,6694.97,0.067,2025,4,408735.03,415420.0,-6684.97,6684.97,-89498.76,0.00134,17,0.00333,5
2025-05-01,CORP,COGS_SUPPORT,106309.85,107485.44,106330.13,Customer Support COGS,Support,Cost of Revenue,lower,0,1,0,1,-1,-1175.59,1175.59,True,-0.01094,True,-20.28,20.28,1.0,-0.00019,-317.18,-0.00297,2025,5,515044.88,522905.44,-7860.56,7860.56,-95499.01,-0.00592,13,-0.01231,4
2025-06-01,CORP,COGS_SUPPORT,107455.01,108548.91,107204.83,Customer Support COGS,Support,Cost of Revenue,lower,0,1,0,1,-1,-1093.9,1093.9,True,-0.01008,True,250.18,-250.18,0.0,0.00233,1145.16,0.01077,2025,6,622499.89,631454.35,-8954.46,8954.46,-112912.59,-0.0032,17,-0.00969,5
2025-07-01,CORP,COGS_SUPPORT,106207.48,109412.07,107843.63,Customer Support COGS,Support,Cost of Revenue,lower,0,1,0,1,-1,-3204.59,3204.59,True,-0.02929,True,-1636.15,1636.15,1.0,-0.01517,-1247.53,-0.01161,2025,7,728707.37,740866.42,-12159.05,12159.05,-115513.06,-0.00853,13,-0.02774,4
2025-08-01,CORP,COGS_SUPPORT,108010.92,110840.43,109062.83,Customer Support COGS,Support,Cost of Revenue,lower,0,1,0,1,-1,-2829.51,2829.51,True,-0.02553,True,-1051.91,1051.91,1.0,-0.00964,1803.44,0.01698,2025,8,836718.29,851706.85,-14988.56,14988.56,-135632.81,-0.01049,12,-0.02086,4
2025-09-01,CORP,COGS_SUPPORT,111014.44,112633.12,110626.41,Customer Support COGS,Support,Cost of Revenue,lower,0,1,0,1,-1,-1618.68,1618.68,True,-0.01437,True,388.03,-388.03,0.0,0.00351,3003.52,0.02781,2025,9,947732.73,964339.97,-16607.24,16607.24,-142610.66,-0.00569,13,-0.01135,5
2025-10-01,CORP,COGS_SUPPORT,109160.96,114792.01,112536.15,Customer Support COGS,Support,Cost of Revenue,lower,0,1,0,1,-1,-5631.05,5631.05,True,-0.04905,True,-3375.19,3375.19,1.0,-0.02999,-1853.48,-0.0167,2025,10,1056893.69,1079131.98,-22238.29,22238.29,-150846.49,-0.01856,11,-0.03733,4
2025-11-01,CORP,COGS_SUPPORT,107719.76,117221.75,114701.81,Customer Support COGS,Support,Cost of Revenue,lower,0,1,0,1,-1,-9501.99,9501.99,True,-0.08106,True,-6982.05,6982.05,1.0,-0.06087,-1441.2,-0.0132,2025,11,1164613.45,1196353.73,-31740.28,31740.28,-170587.48,-0.03001,8,-0.0557,3
2025-12-01,CORP,COGS_SUPPORT,114835.7,119754.9,116964.93,Customer Support COGS,Support,Cost of Revenue,lower,0,1,0,1,-1,-4919.2,4919.2,True,-0.04108,True,-2129.23,2129.23,1.0,-0.0182,7115.94,0.06606,2025,12,1279449.15,1316108.63,-36659.48,36659.48,-172554.78,-0.0146,12,-0.02851,4
2024-01-01,CORP,REV_SUB,1796834.6,1794837.47,,Subscription Revenue,Subscription,Revenue,higher,1,0,0,0,1,1997.13,1997.13,True,0.00111,True,,,,,,,2024,1,1796834.6,1794837.47,1997.13,1997.13,874.02,0.29148,3,2.28499,1
2024-02-01,CORP,REV_SUB,1842971.44,1840475.18,,Subscription Revenue,Subscription,Revenue,higher,1,0,0,0,1,2496.26,2496.26,True,0.00136,True,,,,,46136.84,0.02568,2024,2,3639806.04,3635312.65,4493.39,4493.39,6757.85,-0.87544,4,0.36939,2
2024-03-01,CORP,REV_SUB,1882844.21,1878583.93,,Subscription Revenue,Subscription,Revenue,higher,1,0,0,0,1,4260.28,4260.28,True,0.00227,True,,,,,39872.77,0.02164,2024,3,5522650.25,5513896.58,8753.67,8753.67,3767.94,-0.36951,3,1.13067,1
2024-04-01,CORP,REV_SUB,1914379.27,1909122.05,,Subscription Revenue,Subscription,Revenue,higher,1,0,0,0,1,5257.22,5257.22,True,0.00275,True,,,,,31535.06,0.01675,2024,4,7437029.52,7423018.63,14010.89,14010.89,-5228.8,-4.95095,3,-1.00544,2
2024-05-01,CORP,REV_SUB,1938401.52,1934107.75,,Subscription Revenue,Subscription,Revenue,higher,1,0,0,0,1,4293.77,4293.77,True,0.00222,True,,,,,24022.25,0.01255,2024,5,9375431.04,9357126.38,18304.66,18304.66,12176.43,-6.26151,3,0.35263,2
2024-06-01,CORP,REV_SUB,1962128.75,1957087.96,,Subscription Revenue,Subscription,Revenue,higher,1,0,0,0,1,5040.79,5040.79,True,0.00258,True,,,,,23727.23,0.01224,2024,6,11337559.79,11314214.34,23345.45,23345.45,6861.04,0.91692,5,0.7347,1
2024-07-01,CORP,REV_SUB,1980620.91,1975812.31,,Subscription Revenue,Subscription,Revenue,higher,1,0,0,0,1,4808.6,4808.6,True,0.00243,True,,,,,18492.16,0.00942,2024,7,13318180.7,13290026.65,28154.05,28154.05,642.95,-0.09624,4,7.47896,1
2024-08-01,CORP,REV_SUB,2009714.63,2006651.27,,Subscription Revenue,Subscription,Revenue,higher,1,0,0,0,1,3063.36,3063.36,True,0.00153,True,,,,,29093.72,0.01469,2024,8,15327895.33,15296677.92,31217.41,31217.41,-3159.94,-0.077,7,-0.96944,2
2024-09-01,CORP,REV_SUB,2047719.07,2045336.27,,Subscription Revenue,Subscription,Revenue,higher,1,0,0,0,1,2382.8,2382.8,True,0.00116,True,,,,,38004.44,0.01891,2024,9,17375614.4,17342014.19,33600.21,33600.21,-5366.29,-0.08051,10,-0.44403,3
2024-10-01,CORP,REV_SUB,2095824.23,2091908.98,,Subscription Revenue,Subscription,Revenue,higher,1,0,0,0,1,3915.25,3915.25,True,0.00187,True,,,,,48105.16,0.02349,2024,10,19471438.63,19433923.17,37515.46,37515.46,1308.26,-0.10586,6,2.99272,1
2024-11-01,CORP,REV_SUB,2145227.43,2144317.71,,Subscription Revenue,Subscription,Revenue,higher,1,0,0,0,1,909.72,909.72,True,0.00042,True,,,,,49403.2,0.02357,2024,11,21616666.06,21578240.88,38425.18,38425.18,-668.4,-0.01789,10,-1.36104,1
2024-12-01,CORP,REV_SUB,2195741.29,2198957.5,,Subscription Revenue,Subscription,Revenue,higher,1,0,0,0,1,-3216.21,-3216.21,False,-0.00146,True,,,,,50513.86,0.02355,2024,12,23812407.35,23777198.38,35208.97,35208.97,457.8,0.05782,6,-7.02536,1
2025-01-01,CORP,REV_SUB,2229411.14,2245117.98,2238758.66,Subscription Revenue,Subscription,Revenue,higher,1,0,0,0,1,-15706.84,-15706.84,False,-0.007,True,-9347.52,-9347.52,0.0,-0.00418,33669.85,0.01533,2025,1,2229411.14,2245117.98,-15706.84,-15706.84,-61949.64,0.1015,6,0.25354,2
2025-02-01,CORP,REV_SUB,2262003.43,2292158.19,2280384.09,Subscription Revenue,Subscription,Revenue,higher,1,0,0,0,1,-30154.76,-30154.76,False,-0.01316,True,-18380.66,-18380.66,0.0,-0.00806,32592.29,0.01462,2025,2,4491414.57,4537276.17,-45861.6,-45861.6,-68725.12,0.1799,4,0.43877,2
