month,department_id,actual_headcount,budget_headcount,forecast_headcount,avg_comp_actual,avg_comp_budget,avg_comp_forecast
2024-01-01,GA,15,15,15,149015.34,150000.0,150000.0
2024-02-01,GA,15,15,15,150396.58,150000.0,150078.12
2024-03-01,GA,16,16,16,149492.6,150000.0,150156.25
2024-04-01,GA,16,16,16,150313.42,150000.0,150234.38
2024-05-01,GA,16,16,16,152638.98,150000.0,150312.5
2024-06-01,GA,16,16,16,150950.23,150000.0,150390.62
2024-07-01,GA,17,17,17,149790.76,150000.0,150468.75
2024-08-01,GA,17,17,17,151151.13,150000.0,150546.88
2024-09-01,GA,17,17,17,151762.25,150000.0,150625.0
2024-10-01,GA,17,17,17,150853.89,150000.0,150703.12
2024-11-01,GA,18,18,18,150988.04,150000.0,150781.25
2024-12-01,GA,18,18,18,151782.77,150000.0,150859.37
2025-01-01,GA,18,18,18,151953.74,150000.0,150937.5
2025-02-01,GA,18,18,18,151590.66,150000.0,151015.62
2025-03-01,GA,19,19,19,152176.02,150000.0,151093.75
2025-04-01,GA,19,19,19,152624.74,150000.0,151171.88
2025-05-01,GA,19,19,19,152520.64,150000.0,151250.0
2025-06-01,GA,19,19,19,152564.27,150000.0,151328.12
2025-07-01,GA,20,20,20,153026.13,150000.0,151406.25
2025-08-01,GA,20,20,20,152789.99,150000.0,151484.38
2025-09-01,GA,20,20,20,152276.37,150000.0,151562.5
2025-10-01,GA,20,20,20,153871.08,150000.0,151640.62
2025-11-01,GA,21,21,21,154838.24,150000.0,151718.75
2025-12-01,GA,21,21,21,154555.35,150000.0,151796.88
2024-01-01,CS,18,18,18,112174.8,112000.0,112000.0
2024-02-01,CS,18,18,18,112087.44,112000.0,112046.67
2024-03-01,CS,19,19,19,112622.4,112000.0,112093.33
2024-04-01,CS,19,19,19,111938.36,112000.0,112140.0
2024-05-01,CS,20,20,20,112920.54,112000.0,112186.67
2024-06-01,CS,20,20,20,112618.97,112000.0,112233.33
2024-07-01,CS,20,20,20,112411.87,112000.0,112280.0
2024-08-01,CS,21,21,21,113329.38,112000.0,112326.67
2024-09-01,CS,21,21,21,112479.2,112000.0,112373.33
2024-10-01,CS,22,22,22,112433.94,112000.0,112420.0
2024-11-01,CS,22,22,22,113572.96,112000.0,112466.67
2024-12-01,CS,22,22,22,113302.46,112000.0,112513.33
2025-01-01,CS,20,23,21,113050.84,112000.0,112560.0
2025-02-01,CS,20,23,21,113406.7,112000.0,112606.67
2025-03-01,CS,20,23,21,112869.8,112000.0,112653.33
2025-04-01,CS,21,24,22,113594.72,112000.0,112700.0
2025-05-01,CS,21,24,22,113850.8,112000.0,112746.67
2025-06-01,CS,22,25,23,112988.18,112000.0,112793.33
2025-07-01,CS,22,25,23,113925.96,112000.0,112840.0
2025-08-01,CS,22,25,23,113744.86,112000.0,112886.67
2025-09-01,CS,23,26,24,113757.74,112000.0,112933.33
2025-10-01,CS,23,26,24,113984.56,112000.0,112980.0
2025-11-01,CS,24,27,25,113714.71,112000.0,113026.67
2025-12-01,CS,24,27,25,114416.71,112000.0,113073.33
